project,log_name,analysis_file,analysis_link,run_type,target,users,uses_table_from_file,population_nodes,uses_dummy_tables_flag,nextgen_tomw2_exit_code,nextgen_tomw2_overall_sec,nextgen_tomw3_exit_code,nextgen_tomw3_overall_sec,legacy_exit_code,legacy_overall_sec,nextgen_exit_code,nextgen_overall_sec,nextgen_old_exit_code,nextgen_old_overall_sec,legacy_batch0_found,legacy_batch0_raw_sec,legacy_batch0_populate_sec,legacy_batch0_engine_sec,legacy_batch0_accumulate_sec,legacy_batch0_total_sec,legacy_batch0_dps,nextgen_batch_improvement,found_diff_pct,tomw_improvements_batch0,tomw_improvements_batch1,tomw2_found_improvement,tomw3_improvements_batch0,tomw3_improvements_batch1,nextgen_batch0_found,nextgen_batch0_raw_sec,nextgen_batch0_populate_sec,nextgen_batch0_engine_sec,nextgen_batch0_accumulate_sec,nextgen_batch0_total_sec,nextgen_batch0_dps,nextgen_batch1_found,nextgen_batch1_raw_sec,nextgen_batch1_populate_sec,nextgen_batch1_engine_sec,nextgen_batch1_accumulate_sec,nextgen_batch1_total_sec,nextgen_batch1_dps,nextgen_tomw2_batch0_found,nextgen_tomw2_batch0_raw_sec,nextgen_tomw2_batch0_populate_sec,nextgen_tomw2_batch0_engine_sec,nextgen_tomw2_batch0_accumulate_sec,nextgen_tomw2_batch0_total_sec,nextgen_tomw2_batch0_dps,nextgen_tomw2_batch1_found,nextgen_tomw2_batch1_raw_sec,nextgen_tomw2_batch1_populate_sec,nextgen_tomw2_batch1_engine_sec,nextgen_tomw2_batch1_accumulate_sec,nextgen_tomw2_batch1_total_sec,nextgen_tomw2_batch1_dps,nextgen_tomw3_batch0_found,nextgen_tomw3_batch0_raw_sec,nextgen_tomw3_batch0_populate_sec,nextgen_tomw3_batch0_engine_sec,nextgen_tomw3_batch0_accumulate_sec,nextgen_tomw3_batch0_total_sec,nextgen_tomw3_batch0_dps,nextgen_tomw3_batch1_found,nextgen_tomw3_batch1_raw_sec,nextgen_tomw3_batch1_populate_sec,nextgen_tomw3_batch1_engine_sec,nextgen_tomw3_batch1_accumulate_sec,nextgen_tomw3_batch1_total_sec,nextgen_tomw3_batch1_dps,nextgen_old_batch0_found,nextgen_old_batch0_raw_sec,nextgen_old_batch0_populate_sec,nextgen_old_batch0_engine_sec,nextgen_old_batch0_accumulate_sec,nextgen_old_batch0_total_sec,nextgen_old_batch0_dps,nextgen_old_batch1_found,nextgen_old_batch1_raw_sec,nextgen_old_batch1_populate_sec,nextgen_old_batch1_engine_sec,nextgen_old_batch1_accumulate_sec,nextgen_old_batch1_total_sec,nextgen_old_batch1_dps
research-template,generate_dataset.log,analysis/dataset_definition.py,https://github.com/opensafely/research-template/blob/fb526f10f6d461c9b4bae87c365fc5a516901f50/analysis/dataset_definition.py,dataset,10,Seb Bacon,False,15,False,0,1.27,0,1.18,0,0.47,0,3.12,0,1.73,4764,0.11,0.02,2.38,0.34,0.47,10193.79,0.65,0.0,45.5,31.16,-0.02,-25.96,-0.04,4764,0.23,0.02,1.91,0.4,2.55,1866.61,4795,0.2,0.01,1.43,0.41,2.05,2334.29,4762,0.23,0.02,3.1,0.39,3.73,1276.22,4794,0.21,0.01,1.91,0.4,2.53,1893.79,4761,0.22,0.01,2.62,0.36,3.21,1481.01,4793,0.2,0.01,1.67,0.37,2.24,2136.0,4764,0.21,0.03,3.81,0.63,4.68,1017.38,4794,0.2,0.03,2.15,0.61,2.98,1606.63
mainroute_cancer,measures_demo.log,analysis/measures_demo.py,https://github.com/opensafely/mainroute_cancer/blob/750f9804609c613eff525a31b356582960078508/analysis/measures_demo.py,measure,670,emmazmi,False,,False,0,3.06,0,2.75,0,0.93,0,6.97,0,6.77,2409,0.41,0.09,2.62,0.43,0.93,2596.13,-0.06,-36.64,39.46,-47.19,0.06,5.9,-69.8,1663,0.88,0.09,2.86,0.89,4.72,352.51,1662,0.67,0.05,5.72,0.68,7.12,233.5,1674,0.83,0.08,1.43,0.87,3.2,523.28,1663,0.63,0.04,3.58,0.58,4.83,344.61,525,0.78,0.07,2.86,0.73,4.44,118.26,502,0.61,0.04,4.29,0.49,5.42,92.54,1659,1.67,0.11,3.58,2.43,7.79,212.91,1624,0.88,0.13,2.38,1.44,4.84,335.82
mainroute_cancer,generate_dataset_table.log,analysis/define_static_dataset.py,https://github.com/opensafely/mainroute_cancer/blob/750f9804609c613eff525a31b356582960078508/analysis/define_static_dataset.py,dataset,10,emmazmi,False,31,False,0,3.5,0,2.96,0,1.2,0,8.01,0,7.27,2583,0.44,0.11,3.34,0.65,1.2,2156.34,0.28,-35.3,29.61,12.14,-1.27,3.58,-72.26,1808,0.92,0.1,2.86,1.1,4.98,362.94,1813,0.69,0.05,3.58,0.73,5.05,359.16,1805,0.88,0.09,3.81,1.06,5.84,309.08,1790,0.67,0.05,3.81,0.71,5.25,341.24,523,0.84,0.08,3.1,0.78,4.8,108.89,503,0.63,0.05,4.05,0.53,5.26,95.63,1830,1.68,0.11,2.62,2.66,7.08,258.58,1814,0.94,0.08,3.1,1.63,5.75,315.74
mainroute_cancer,generate_dataset_fit_table.log,analysis/define_static_dataset_fit.py,https://github.com/opensafely/mainroute_cancer/blob/750f9804609c613eff525a31b356582960078508/analysis/define_static_dataset_fit.py,dataset,10,emmazmi,False,31,False,0,3.41,0,3.04,0,1.22,0,7.77,0,7.28,2583,0.43,0.12,2.86,0.67,1.22,2123.62,0.28,-35.3,48.0,16.15,-1.27,-28.21,-72.26,1808,0.88,0.1,1.91,1.07,3.96,456.59,1813,0.66,0.05,3.34,0.72,4.78,379.66,1805,0.87,0.11,2.38,1.0,4.36,413.7,1790,0.65,0.05,2.62,0.69,4.01,446.74,523,0.82,0.08,3.34,0.83,5.08,103.01,503,0.65,0.05,3.34,0.55,4.59,109.57,1830,1.75,0.13,3.1,2.64,7.62,240.3,1814,0.93,0.07,3.1,1.59,5.7,318.52
mainroute_cancer,measures_demo_imd.log,analysis/measures_demo_imd.py,https://github.com/opensafely/mainroute_cancer/blob/750f9804609c613eff525a31b356582960078508/analysis/measures_demo_imd.py,measure,670,emmazmi,False,,False,0,3.05,0,2.76,0,0.96,0,7.22,0,6.87,2401,0.42,0.1,2.15,0.44,0.96,2495.04,-0.42,-36.9,39.4,25.55,0.36,5.21,-70.05,1653,0.81,0.09,2.86,0.94,4.7,351.49,1646,0.69,0.04,2.86,0.64,4.23,389.04,1663,0.79,0.08,2.62,0.89,4.38,379.71,1652,0.62,0.04,3.81,0.58,5.06,326.69,515,0.77,0.07,2.86,0.75,4.46,115.53,493,0.6,0.04,2.38,0.49,3.51,140.55,1640,1.64,0.11,3.58,2.44,7.76,211.33,1606,0.9,0.14,3.1,1.54,5.68,282.6
mainroute_cancer,generate_referral_test.log,analysis/referral_test.py,https://github.com/opensafely/mainroute_cancer/blob/750f9804609c613eff525a31b356582960078508/analysis/referral_test.py,dataset,10,emmazmi,False,29,False,0,4.26,0,2.6,0,1.0,0,6.68,0,5.68,129,0.31,0.1,3.81,0.6,1.0,128.75,30.56,-56.72,13.93,21.0,112.77,26.92,5.32,72,0.65,0.1,3.58,0.78,5.11,14.08,94,0.5,0.14,2.15,0.7,3.48,26.98,70,0.64,0.08,3.58,0.69,4.98,14.06,200,1.13,0.27,2.86,1.41,5.67,35.27,73,0.61,0.08,2.38,0.66,3.74,19.54,99,0.46,0.12,3.1,0.62,4.3,23.0,74,1.31,0.1,2.86,1.67,5.94,12.46,89,0.86,0.08,1.91,1.56,4.41,20.18
tocilizumab_and_sarilumab,generate_dataset.log,analysis/dataset_definition.py,https://github.com/opensafely/tocilizumab_and_sarilumab/blob/20887d4c3da7e6737ef9c12b7c45f786e1dd615c/analysis/dataset_definition.py,dataset,10000,lshbz1,False,26,False,0,9.35,0,17.24,0,1.13,0,13.73,0,14.75,79,0.43,0.11,2.62,0.6,1.13,70.04,57.14,-95.33,43.84,42.09,513.64,-143.59,0.0,28,1.82,0.04,2.86,1.73,6.45,4.34,44,1.28,0.06,2.86,1.18,5.38,8.18,33,1.71,0.04,3.34,1.79,6.88,4.8,270,1.79,0.38,5.01,3.56,10.73,25.17,32,1.56,0.04,3.34,10.79,15.72,2.04,44,1.14,0.05,1.91,3.36,6.46,6.81,45,3.85,0.08,3.34,4.22,11.49,3.92,57,1.99,0.26,2.86,4.18,9.29,6.14
OpenPregnosis,generate_livebirth_data.log,analysis/03a_livebirth_dataset_definition.py,https://github.com/opensafely/OpenPregnosis/blob/76747c7e974cce5af80a5b80d96403295c5707aa/analysis/03a_livebirth_dataset_definition.py,dataset,2000,Paolo Mazzone,False,21,False,0,3.45,0,1.89,0,0.67,0,4.27,0,3.28,254,0.29,0.05,2.86,0.34,0.67,377.13,17.72,57.1,-97.8,14.14,69.7,54.14,-0.37,457,0.68,0.03,5.96,0.26,6.94,65.87,538,0.52,0.04,2.62,0.24,3.43,156.94,458,0.68,0.06,1.19,0.19,2.12,216.03,913,1.11,0.25,4.05,1.14,6.55,139.48,456,0.74,0.09,2.15,0.21,3.18,143.32,536,0.54,0.04,2.15,0.23,2.96,181.02,445,1.45,0.04,1.67,0.35,3.51,126.87,571,0.87,0.07,2.62,0.43,3.99,143.01
OpenPregnosis,generate_early_markers_data.log,analysis/03d_pregnancy_start_dataset_definition.py,https://github.com/opensafely/OpenPregnosis/blob/76747c7e974cce5af80a5b80d96403295c5707aa/analysis/03d_pregnancy_start_dataset_definition.py,dataset,2000,Paolo Mazzone,False,21,False,0,3.3,0,1.72,0,0.68,0,4.26,0,3.31,257,0.3,0.08,2.86,0.3,0.68,378.33,17.76,55.82,11.3,-36.48,70.58,27.42,-0.56,456,0.68,0.03,2.62,0.27,3.61,126.41,537,0.53,0.05,3.58,0.25,4.4,122.11,456,0.65,0.07,1.91,0.2,2.82,161.82,916,1.06,0.22,2.86,1.08,5.22,175.5,455,0.7,0.06,1.67,0.19,2.62,173.8,534,0.49,0.03,2.15,0.21,2.88,185.3,440,1.5,0.04,2.15,0.38,4.07,108.19,566,0.83,0.06,1.91,0.42,3.22,175.65
OpenPregnosis,generate_indicator_data.log,analysis/03e_indicator_dataset_definition.py,https://github.com/opensafely/OpenPregnosis/blob/76747c7e974cce5af80a5b80d96403295c5707aa/analysis/03e_indicator_dataset_definition.py,dataset,2000,Paolo Mazzone,False,21,False,0,3.61,0,1.87,0,0.69,0,4.42,0,3.46,258,0.31,0.08,2.62,0.3,0.69,374.92,14.62,58.63,-5.58,-44.97,67.84,-6.52,-1.11,472,0.74,0.07,2.62,0.21,3.64,129.72,541,0.55,0.04,3.58,0.25,4.41,122.7,471,0.72,0.07,1.67,0.2,2.66,176.82,908,1.2,0.25,3.34,1.13,5.92,153.47,471,0.72,0.07,2.86,0.22,3.88,121.52,535,0.56,0.03,1.91,0.23,2.73,195.77,454,1.61,0.08,1.43,0.32,3.45,131.74,587,0.87,0.11,1.67,0.39,3.04,193.0
OpenPregnosis,generate_early_loss_data.log,analysis/03c_early_loss_dataset_definition.py,https://github.com/opensafely/OpenPregnosis/blob/76747c7e974cce5af80a5b80d96403295c5707aa/analysis/03c_early_loss_dataset_definition.py,dataset,2000,Paolo Mazzone,False,21,False,0,3.3,0,1.75,0,0.73,0,4.28,0,3.21,257,0.3,0.05,3.81,0.37,0.73,353.63,15.24,57.81,-41.54,-34.11,70.95,48.81,-1.49,466,0.73,0.04,3.58,0.29,4.63,100.66,537,0.54,0.03,3.81,0.23,4.62,116.17,470,0.64,0.06,1.91,0.19,2.8,167.87,918,1.05,0.23,2.86,1.1,5.24,175.31,471,0.67,0.06,1.43,0.2,2.37,198.74,529,0.52,0.03,3.58,0.22,4.35,121.56,449,1.45,0.04,1.43,0.35,3.27,137.27,573,0.81,0.06,2.15,0.43,3.45,166.23
OpenPregnosis,generate_diagnostic_event_counts.log,analysis/01_diagnostic_event_counts.py,https://github.com/opensafely/OpenPregnosis/blob/76747c7e974cce5af80a5b80d96403295c5707aa/analysis/01_diagnostic_event_counts.py,dataset,10000,Paolo Mazzone,False,21,False,0,3.59,0,1.77,0,0.7,0,4.25,0,3.44,257,0.3,0.09,3.34,0.32,0.7,365.27,14.65,58.79,28.81,-19.77,67.78,-1.05,-1.11,471,0.68,0.06,1.67,0.2,2.61,180.17,540,0.52,0.03,2.86,0.23,3.64,148.33,470,0.76,0.07,4.05,0.2,5.07,92.62,906,1.18,0.26,5.01,1.1,7.54,120.14,470,0.71,0.06,1.67,0.19,2.64,177.91,534,0.52,0.03,2.15,0.22,2.92,183.17,455,1.6,0.08,1.67,0.32,3.67,123.9,588,0.87,0.12,1.67,0.38,3.04,193.44
OpenPregnosis,generate_stillbirth_data.log,analysis/03b_stillbirth_dataset_definition.py,https://github.com/opensafely/OpenPregnosis/blob/76747c7e974cce5af80a5b80d96403295c5707aa/analysis/03b_stillbirth_dataset_definition.py,dataset,2000,Paolo Mazzone,False,21,False,0,3.28,0,1.71,0,0.72,0,4.39,0,3.22,260,0.31,0.05,3.34,0.36,0.72,360.98,15.28,55.15,14.52,-16.87,73.48,35.37,-1.14,458,0.73,0.04,2.62,0.26,3.65,125.64,528,0.55,0.04,2.86,0.26,3.71,142.47,451,0.64,0.07,2.38,0.19,3.28,137.66,916,1.05,0.23,4.53,1.08,6.89,133.03,455,0.67,0.07,1.43,0.19,2.36,193.14,522,0.5,0.03,1.91,0.22,2.66,196.14,429,1.49,0.04,2.38,0.35,4.26,100.6,561,0.81,0.05,1.91,0.4,3.17,176.91
opioids-data-curation,generate_dataset.log,analysis/dataset_definition.py,https://github.com/opensafely/opioids-data-curation/blob/7078e61ca8962ffcac8073f24786c063cb9e9ae6/analysis/dataset_definition.py,dataset,10,Andrea Schaffer,False,15,False,0,1.24,0,1.29,0,0.48,0,3.26,0,1.76,4764,0.11,0.02,2.62,0.35,0.48,10023.58,0.65,0.0,-110.63,-31.59,-0.02,27.95,-0.04,4764,0.23,0.02,6.2,0.41,6.86,694.65,4795,0.21,0.02,2.38,0.41,3.02,1587.8,4762,0.23,0.02,2.62,0.38,3.24,1468.66,4794,0.2,0.01,2.86,0.39,3.47,1382.99,4761,0.24,0.02,4.29,0.4,4.94,963.53,4793,0.21,0.02,2.86,0.41,3.49,1372.78,4764,0.2,0.03,2.38,0.64,3.26,1463.15,4794,0.2,0.03,1.43,0.64,2.29,2089.0
post-covid-respiratory,generate_dates.log,analysis/dataset_definition/dataset_definition_dates.py,https://github.com/opensafely/post-covid-respiratory/blob/022c626a653db401b95bfb514c7145f489b22cf7/analysis/dataset_definition/dataset_definition_dates.py,dataset,5000,ZoeMZou,False,3,False,0,3.97,0,5.89,0,0.95,0,8.87,0,20.91,5000,0.11,0.0,1.67,0.83,0.95,5274.05,0.0,0.0,61.11,70.14,0.0,-1.72,0.0,5000,0.71,0.01,2.62,1.44,4.79,1044.84,5000,0.54,0.0,2.38,1.13,4.06,1230.84,5000,0.71,0.0,1.43,1.5,3.65,1371.51,5000,0.55,0.0,3.34,1.2,5.09,983.03,5000,0.73,0.0,1.19,2.94,4.87,1027.13,5000,0.54,0.0,2.86,1.65,5.06,988.71,5000,5.01,0.0,1.19,6.1,12.3,406.37,5000,4.53,0.0,3.81,5.26,13.61,367.51
post-covid-respiratory,generate_input_vax.log,analysis/dataset_definition/dataset_definition_vax.py,https://github.com/opensafely/post-covid-respiratory/blob/022c626a653db401b95bfb514c7145f489b22cf7/analysis/dataset_definition/dataset_definition_vax.py,dataset,5000,ZoeMZou,True,3,False,0,7.17,0,23.11,0,1.97,137,16.27,0,28.05,5000,0.16,0.0,2.86,1.8,1.97,2540.55,0.0,0.0,63.66,53.23,0.0,-310.75,0.0,5000,0.98,0.0,1.67,3.68,6.33,790.06,5000,0.59,0.0,3.34,2.6,6.53,765.27,5000,0.85,0.0,2.38,3.41,6.65,751.83,5000,0.54,0.0,1.91,2.35,4.8,1041.88,5000,0.79,0.0,9.54,15.66,25.99,192.35,5000,0.58,0.0,2.38,6.06,9.02,554.29,5000,4.92,0.0,1.43,11.06,17.42,287.1,5000,4.09,0.0,1.91,7.97,13.97,357.95
post-covid-respiratory,generate_input_prevax.log,analysis/dataset_definition/dataset_definition_prevax.py,https://github.com/opensafely/post-covid-respiratory/blob/022c626a653db401b95bfb514c7145f489b22cf7/analysis/dataset_definition/dataset_definition_prevax.py,dataset,5000,ZoeMZou,True,3,False,0,7.15,0,23.48,0,2.03,137,16.28,0,28.31,5000,0.16,0.0,4.77,1.87,2.03,2458.91,0.0,0.0,52.31,53.63,0.0,-119.51,0.0,5000,1.02,0.01,3.58,3.68,8.28,604.08,5000,0.58,0.0,3.1,2.61,6.29,794.68,5000,0.81,0.0,1.67,3.39,5.88,850.92,5000,0.52,0.0,1.67,2.41,4.6,1086.35,5000,0.82,0.0,1.43,15.92,18.17,275.19,5000,0.61,0.0,1.43,6.11,8.15,613.39,5000,5.01,0.0,1.19,11.15,17.36,288.09,5000,4.21,0.0,1.43,7.93,13.57,368.47
post-covid-respiratory,generate_input_unvax.log,analysis/dataset_definition/dataset_definition_unvax.py,https://github.com/opensafely/post-covid-respiratory/blob/022c626a653db401b95bfb514c7145f489b22cf7/analysis/dataset_definition/dataset_definition_unvax.py,dataset,5000,ZoeMZou,True,3,False,0,7.07,0,23.68,0,2.0,137,16.34,0,28.58,5000,0.17,0.0,4.05,1.82,2.0,2504.42,0.0,0.0,63.28,60.2,0.0,-187.39,0.0,5000,0.94,0.0,1.91,3.6,6.46,774.47,5000,0.56,0.0,2.86,2.47,5.89,848.45,5000,0.77,0.0,9.54,3.42,13.73,364.18,5000,0.53,0.0,1.91,2.33,4.77,1047.4,5000,0.78,0.0,1.67,16.1,18.55,269.48,5000,0.6,0.0,1.67,6.18,8.45,591.88,5000,4.96,0.0,1.19,11.43,17.58,284.41,5000,4.2,0.0,2.62,7.98,14.81,337.65
covid-vaccine-history,extract_snapshot_20220829.log,analysis/1-extract/dataset_definition_snapshot.py,https://github.com/opensafely/covid-vaccine-history/blob/f73ba9a6e29f3acc9de4155cd2b8fe12e3c45f66/analysis/1-extract/dataset_definition_snapshot.py,dataset,1000,Will Hulme,False,37,False,0,6.61,0,7.03,0,0.87,0,14.93,0,13.37,772,0.27,0.03,3.81,0.58,0.87,883.54,0.0,146.5,5.11,23.11,0.0,44.61,0.0,5000,0.97,0.03,6.2,2.99,10.18,490.95,5000,0.46,0.2,2.38,2.25,5.29,944.7,5000,0.94,0.02,2.62,2.97,6.55,763.08,5000,0.44,0.14,2.86,2.06,5.51,907.91,5000,0.93,0.03,1.43,3.25,5.64,886.28,5000,0.44,0.15,1.91,2.19,4.69,1066.47,5000,1.29,0.05,2.38,7.01,10.73,465.84,5000,0.65,0.04,1.91,4.29,6.88,726.34
covid-vaccine-history,extract_snapshot_20201207.log,analysis/1-extract/dataset_definition_snapshot.py,https://github.com/opensafely/covid-vaccine-history/blob/f73ba9a6e29f3acc9de4155cd2b8fe12e3c45f66/analysis/1-extract/dataset_definition_snapshot.py,dataset,1000,Will Hulme,False,37,False,0,6.6,0,6.9,0,0.9,0,15.2,0,26.05,790,0.27,0.03,4.05,0.6,0.9,880.93,0.0,145.42,65.24,57.58,0.0,5.54,0.0,5000,1.01,0.03,2.62,3.06,6.72,744.18,5000,0.47,0.17,2.62,2.25,5.52,905.23,5000,0.93,0.03,2.86,2.92,6.74,742.13,5000,0.44,0.14,3.58,2.11,6.27,797.69,5000,0.99,0.03,2.15,3.18,6.35,787.85,5000,0.44,0.14,2.15,2.08,4.81,1038.93,5000,1.32,0.05,2.86,15.1,19.33,258.7,5000,4.74,0.07,3.58,4.64,13.02,383.98
covid-vaccine-history,extract_snapshot_20210906.log,analysis/1-extract/dataset_definition_snapshot.py,https://github.com/opensafely/covid-vaccine-history/blob/f73ba9a6e29f3acc9de4155cd2b8fe12e3c45f66/analysis/1-extract/dataset_definition_snapshot.py,dataset,1000,Will Hulme,False,37,False,0,6.48,0,7.18,0,0.89,0,17.82,0,13.91,775,0.27,0.03,3.1,0.59,0.89,867.16,0.0,146.32,28.1,14.39,0.0,19.15,0.0,5000,1.05,0.03,3.58,3.17,7.82,639.2,5000,0.5,0.16,2.62,2.75,6.03,829.37,5000,0.94,0.03,2.38,2.88,6.24,801.72,5000,0.41,0.13,2.15,2.06,4.75,1053.31,5000,0.95,0.02,2.15,3.21,6.32,790.61,5000,0.48,0.28,3.81,2.21,6.79,736.85,5000,1.29,0.05,2.15,7.4,10.88,459.59,5000,0.69,0.05,1.91,4.4,7.04,710.06
covid-vaccine-history,extract_fixed.log,analysis/1-extract/dataset_definition_fixed.py,https://github.com/opensafely/covid-vaccine-history/blob/f73ba9a6e29f3acc9de4155cd2b8fe12e3c45f66/analysis/1-extract/dataset_definition_fixed.py,dataset,1000,Will Hulme,False,21,False,0,2.57,0,6.01,0,0.95,0,6.15,0,4.05,4389,0.16,0.02,4.29,0.77,0.95,4637.51,0.0,13.02,1.34,-49.92,0.0,-101.66,0.0,5000,0.37,0.02,2.38,1.09,3.86,1295.13,5000,0.31,0.02,4.29,0.91,5.52,905.14,5000,0.36,0.02,1.67,1.01,3.05,1637.38,5000,0.28,0.02,2.15,0.88,3.32,1506.32,5000,0.37,0.02,4.05,3.34,7.79,642.25,5000,0.54,0.02,2.62,1.71,4.89,1023.54,5000,0.36,0.03,1.67,1.85,3.91,1277.74,5000,0.3,0.07,1.91,1.41,3.68,1357.0
covid-vaccine-history,extract_snapshot_20230828.log,analysis/1-extract/dataset_definition_snapshot.py,https://github.com/opensafely/covid-vaccine-history/blob/f73ba9a6e29f3acc9de4155cd2b8fe12e3c45f66/analysis/1-extract/dataset_definition_snapshot.py,dataset,1000,Will Hulme,False,37,False,0,6.35,0,6.89,0,0.93,0,14.91,0,13.08,734,0.28,0.03,2.62,0.62,0.93,792.26,0.0,148.8,31.27,-4.78,0.0,21.34,0.0,5000,1.0,0.03,2.86,2.96,6.85,730.0,5000,0.43,0.22,4.29,2.26,7.21,693.72,5000,0.89,0.03,3.81,2.91,7.64,654.59,5000,0.43,0.13,4.29,1.94,6.79,736.83,5000,0.93,0.03,1.19,3.23,5.39,928.05,5000,0.42,0.15,1.91,2.1,4.57,1094.55,5000,1.19,0.05,1.91,6.82,9.97,501.75,5000,0.64,0.04,1.91,4.29,6.88,726.88
covid-vaccine-history,extract_snapshot_20230403.log,analysis/1-extract/dataset_definition_snapshot.py,https://github.com/opensafely/covid-vaccine-history/blob/f73ba9a6e29f3acc9de4155cd2b8fe12e3c45f66/analysis/1-extract/dataset_definition_snapshot.py,dataset,1000,Will Hulme,False,37,False,0,6.39,0,7.21,0,0.88,0,14.7,0,13.08,755,0.28,0.03,4.29,0.58,0.88,855.63,0.0,147.52,40.36,26.48,0.0,-2.17,0.0,5000,1.01,0.03,1.91,3.09,6.03,828.95,5000,0.47,0.16,2.62,2.23,5.48,912.44,5000,0.95,0.02,1.43,2.83,5.23,956.26,5000,0.43,0.16,1.91,1.98,4.47,1119.21,5000,0.93,0.02,1.91,3.3,6.16,811.37,5000,0.42,0.15,1.67,2.36,4.59,1088.33,5000,1.21,0.05,1.91,6.95,10.11,494.41,5000,0.62,0.05,2.62,4.16,7.45,670.83
covid-vaccine-history,extract_snapshot_20250331.log,analysis/1-extract/dataset_definition_snapshot.py,https://github.com/opensafely/covid-vaccine-history/blob/f73ba9a6e29f3acc9de4155cd2b8fe12e3c45f66/analysis/1-extract/dataset_definition_snapshot.py,dataset,1000,Will Hulme,False,37,False,0,6.43,0,6.7,0,0.84,0,14.83,0,12.66,578,0.28,0.03,3.58,0.53,0.84,687.82,0.0,158.55,38.28,32.71,0.0,-10.37,0.0,5000,0.96,0.03,2.38,2.85,6.22,803.76,5000,0.43,0.15,2.62,2.35,5.56,899.53,5000,0.95,0.03,1.91,2.86,5.74,870.35,5000,0.42,0.16,2.38,1.97,4.94,1011.9,5000,0.9,0.02,2.86,3.08,6.87,728.24,5000,0.43,0.15,3.34,2.09,6.0,832.82,5000,1.14,0.04,2.15,6.75,10.08,496.07,5000,0.55,0.05,3.58,4.09,8.26,605.3
covid-vaccine-history,extract_snapshot_20240930.log,analysis/1-extract/dataset_definition_snapshot.py,https://github.com/opensafely/covid-vaccine-history/blob/f73ba9a6e29f3acc9de4155cd2b8fe12e3c45f66/analysis/1-extract/dataset_definition_snapshot.py,dataset,1000,Will Hulme,False,37,False,0,6.37,0,6.6,0,0.84,0,14.98,0,13.04,665,0.27,0.03,2.62,0.54,0.84,793.33,0.0,153.05,50.3,31.9,0.0,17.38,0.0,5000,1.03,0.03,2.15,3.2,6.41,780.46,5000,0.46,0.15,2.38,2.28,5.27,948.54,5000,0.89,0.02,2.38,2.86,6.15,813.18,5000,0.44,0.14,2.86,1.99,5.43,920.48,5000,0.86,0.02,1.43,2.97,5.29,944.65,5000,0.41,0.16,2.86,2.14,5.56,899.05,5000,1.16,0.05,4.53,7.15,12.89,387.9,5000,0.6,0.05,3.1,4.0,7.74,645.97
covid-vaccine-history,extract_snapshot_20220321.log,analysis/1-extract/dataset_definition_snapshot.py,https://github.com/opensafely/covid-vaccine-history/blob/f73ba9a6e29f3acc9de4155cd2b8fe12e3c45f66/analysis/1-extract/dataset_definition_snapshot.py,dataset,1000,Will Hulme,False,37,False,0,6.45,0,7.21,0,0.88,0,14.86,0,13.66,773,0.27,0.03,2.38,0.59,0.88,873.73,0.0,146.44,26.71,29.38,0.0,27.74,0.0,5000,1.03,0.03,4.05,3.33,8.44,592.41,5000,0.48,0.14,2.86,2.04,5.52,906.14,5000,0.95,0.03,3.58,2.89,7.45,671.49,5000,0.44,0.14,5.25,1.98,7.8,641.09,5000,0.96,0.03,1.91,3.21,6.1,819.8,5000,0.47,0.19,3.34,2.32,6.31,792.07,5000,1.38,0.05,2.86,7.23,11.52,434.16,5000,0.66,0.05,2.86,4.24,7.81,639.88
covid-vaccine-history,extract_snapshot_20240415.log,analysis/1-extract/dataset_definition_snapshot.py,https://github.com/opensafely/covid-vaccine-history/blob/f73ba9a6e29f3acc9de4155cd2b8fe12e3c45f66/analysis/1-extract/dataset_definition_snapshot.py,dataset,1000,Will Hulme,False,37,False,0,6.46,0,6.95,0,0.9,0,14.84,0,13.25,691,0.28,0.03,4.29,0.58,0.9,771.04,0.0,151.43,34.81,30.67,0.0,5.95,0.0,5000,1.01,0.03,2.38,3.06,6.48,771.76,5000,0.46,0.15,2.15,2.15,4.91,1018.79,5000,0.89,0.02,1.67,2.93,5.5,908.36,5000,0.43,0.13,3.1,2.03,5.69,878.69,5000,0.92,0.02,1.91,3.25,6.09,820.57,5000,0.43,0.16,2.38,2.15,5.12,977.04,5000,1.18,0.06,1.67,7.04,9.94,503.12,5000,0.6,0.05,2.15,4.28,7.08,706.35
pharmacy-first-data-development,generate_pf_codes_data_development.log,analysis/dataset_definition_pf_data_development.py,https://github.com/opensafely/pharmacy-first-data-development/blob/8292eaa8743e474c2112a2ce03c0519264ef0271/analysis/dataset_definition_pf_data_development.py,dataset,1000,Milan Wiedemann,False,1,False,0,1.21,0,1.36,0,0.38,0,3.0,0,1.91,5000,0.1,0.0,2.15,0.27,0.38,13304.38,0.0,0.0,66.74,-71.8,0.0,-15.4,0.0,5000,0.13,0.0,2.86,0.6,3.59,1392.23,5000,0.13,0.0,2.62,0.4,3.15,1587.33,5000,0.13,0.0,9.54,0.57,10.23,488.55,5000,0.12,0.0,1.91,0.38,2.41,2071.41,5000,0.13,0.0,3.34,0.67,4.14,1206.46,5000,0.13,0.0,1.67,0.41,2.21,2258.43,5000,0.12,0.0,9.54,1.13,10.8,463.08,5000,0.12,0.0,1.19,0.52,1.83,2726.99
