project,log_name,analysis_file,analysis_link,run_type,target,users,uses_table_from_file,population_nodes,uses_dummy_tables_flag,nextgen_tomw2_exit_code,nextgen_tomw2_overall_sec,nextgen_tomw3_exit_code,nextgen_tomw3_overall_sec,legacy_exit_code,legacy_overall_sec,nextgen_exit_code,nextgen_overall_sec,nextgen_old_exit_code,nextgen_old_overall_sec,legacy_batch0_found,legacy_batch0_raw_sec,legacy_batch0_populate_sec,legacy_batch0_engine_sec,legacy_batch0_accumulate_sec,legacy_batch0_total_sec,legacy_batch0_dps,nextgen_batch_improvement,found_diff_pct,tomw_improvements_batch0,tomw_improvements_batch1,tomw2_found_improvement,tomw3_improvements_batch0,tomw3_improvements_batch1,nextgen_batch0_found,nextgen_batch0_raw_sec,nextgen_batch0_populate_sec,nextgen_batch0_engine_sec,nextgen_batch0_accumulate_sec,nextgen_batch0_total_sec,nextgen_batch0_dps,nextgen_batch1_found,nextgen_batch1_raw_sec,nextgen_batch1_populate_sec,nextgen_batch1_engine_sec,nextgen_batch1_accumulate_sec,nextgen_batch1_total_sec,nextgen_batch1_dps,nextgen_tomw2_batch0_found,nextgen_tomw2_batch0_raw_sec,nextgen_tomw2_batch0_populate_sec,nextgen_tomw2_batch0_engine_sec,nextgen_tomw2_batch0_accumulate_sec,nextgen_tomw2_batch0_total_sec,nextgen_tomw2_batch0_dps,nextgen_tomw2_batch1_found,nextgen_tomw2_batch1_raw_sec,nextgen_tomw2_batch1_populate_sec,nextgen_tomw2_batch1_engine_sec,nextgen_tomw2_batch1_accumulate_sec,nextgen_tomw2_batch1_total_sec,nextgen_tomw2_batch1_dps,nextgen_tomw3_batch0_found,nextgen_tomw3_batch0_raw_sec,nextgen_tomw3_batch0_populate_sec,nextgen_tomw3_batch0_engine_sec,nextgen_tomw3_batch0_accumulate_sec,nextgen_tomw3_batch0_total_sec,nextgen_tomw3_batch0_dps,nextgen_tomw3_batch1_found,nextgen_tomw3_batch1_raw_sec,nextgen_tomw3_batch1_populate_sec,nextgen_tomw3_batch1_engine_sec,nextgen_tomw3_batch1_accumulate_sec,nextgen_tomw3_batch1_total_sec,nextgen_tomw3_batch1_dps,nextgen_old_batch0_found,nextgen_old_batch0_raw_sec,nextgen_old_batch0_populate_sec,nextgen_old_batch0_engine_sec,nextgen_old_batch0_accumulate_sec,nextgen_old_batch0_total_sec,nextgen_old_batch0_dps,nextgen_old_batch1_found,nextgen_old_batch1_raw_sec,nextgen_old_batch1_populate_sec,nextgen_old_batch1_engine_sec,nextgen_old_batch1_accumulate_sec,nextgen_old_batch1_total_sec,nextgen_old_batch1_dps
disease_incidence,measures_dataset_ckd_2016.log,analysis/dataset_definition_measures.py,https://github.com/opensafely/disease_incidence/blob/46fd470f59241bb67e90d6e79cbee55829b9f353/analysis/dataset_definition_measures.py,measure,1000,markdrussell,False,,False,0,5.85,0,5.69,0,2.05,0,14.0,0,12.15,1111,0.56,0.15,3.34,1.34,2.05,542.43,0.0,127.28,17.41,-18.63,0.0,31.29,0.0,5000,1.55,0.07,4.05,1.64,7.32,683.26,5000,0.85,0.25,6.91,1.64,9.66,517.82,5000,1.51,0.07,2.38,1.61,5.57,897.97,5000,0.99,0.07,2.15,1.53,4.74,1055.07,5000,1.49,0.08,1.91,1.55,5.03,994.45,5000,0.96,0.07,3.81,1.46,6.31,792.24,5000,3.3,0.17,1.91,3.48,8.86,564.31,5000,1.83,0.12,3.1,3.09,8.14,614.31
disease_incidence,measures_dataset_epilepsy_2022.log,analysis/dataset_definition_measures.py,https://github.com/opensafely/disease_incidence/blob/46fd470f59241bb67e90d6e79cbee55829b9f353/analysis/dataset_definition_measures.py,measure,1000,markdrussell,False,,False,0,5.17,0,5.86,0,1.8,0,12.06,0,11.1,1111,0.52,0.13,2.38,1.14,1.8,617.68,0.0,127.28,38.29,25.64,0.0,-7.94,0.0,5000,1.42,0.06,3.1,1.51,6.09,820.61,5000,0.79,0.18,2.86,1.39,5.23,955.88,5000,1.39,0.06,1.91,1.41,4.77,1047.9,5000,0.86,0.06,2.38,1.32,4.62,1081.69,5000,1.52,0.07,3.34,1.65,6.58,760.24,5000,0.94,0.08,3.34,1.52,5.88,850.33,5000,3.25,0.17,3.34,3.12,9.87,506.43,5000,1.63,0.11,2.62,2.68,7.03,710.81
disease_incidence,measures_dataset_rheumatoid_2021.log,analysis/dataset_definition_measures.py,https://github.com/opensafely/disease_incidence/blob/46fd470f59241bb67e90d6e79cbee55829b9f353/analysis/dataset_definition_measures.py,measure,1000,markdrussell,False,,False,0,5.32,0,5.82,0,1.8,0,12.35,0,10.72,1114,0.52,0.15,2.62,1.13,1.8,619.69,0.0,127.12,44.56,35.8,0.0,-43.0,0.0,5000,1.46,0.08,1.67,1.55,4.76,1051.2,5000,0.79,0.18,2.38,1.44,4.8,1042.21,5000,1.4,0.06,2.38,1.47,5.32,940.25,5000,0.88,0.08,3.34,1.36,5.66,883.24,5000,1.54,0.07,3.58,1.61,6.8,735.11,5000,0.94,0.07,2.15,1.51,4.66,1072.85,5000,2.95,0.18,2.38,3.07,8.58,582.79,5000,1.63,0.1,3.1,2.64,7.47,669.05
disease_incidence,measures_dataset_atopic_dermatitis_2017.log,analysis/dataset_definition_measures.py,https://github.com/opensafely/disease_incidence/blob/46fd470f59241bb67e90d6e79cbee55829b9f353/analysis/dataset_definition_measures.py,measure,1000,markdrussell,False,,False,0,5.53,0,5.68,0,1.86,0,12.92,0,11.83,1110,0.54,0.14,3.81,1.18,1.86,595.34,0.0,127.33,41.45,13.52,0.0,-7.77,0.0,5000,1.47,0.07,2.15,1.6,5.28,947.35,5000,0.83,0.19,3.34,1.45,5.8,861.91,5000,1.45,0.06,2.38,1.5,5.4,926.18,5000,0.98,0.07,3.34,1.4,5.79,864.26,5000,1.49,0.07,2.62,1.51,5.69,879.05,5000,0.94,0.08,2.62,1.53,5.16,968.35,5000,3.45,0.16,2.15,3.25,9.01,554.67,5000,1.78,0.12,1.91,2.91,6.71,745.35
disease_incidence,measures_dataset_copd_2021.log,analysis/dataset_definition_measures.py,https://github.com/opensafely/disease_incidence/blob/46fd470f59241bb67e90d6e79cbee55829b9f353/analysis/dataset_definition_measures.py,measure,1000,markdrussell,False,,False,0,5.33,0,5.27,0,1.9,0,12.2,0,11.04,1114,0.53,0.17,4.05,1.2,1.9,585.0,0.0,127.12,30.05,21.13,0.0,14.77,0.0,5000,1.45,0.07,2.62,1.5,5.64,886.58,5000,0.78,0.18,3.1,1.36,5.42,921.7,5000,1.43,0.06,1.91,1.46,4.86,1028.04,5000,0.89,0.08,3.34,1.34,5.64,886.07,5000,1.39,0.06,1.91,1.45,4.81,1040.2,5000,0.87,0.06,3.34,1.37,5.64,886.3,5000,3.08,0.16,1.67,3.15,8.06,620.17,5000,1.68,0.11,2.38,2.71,6.88,726.93
disease_incidence,measures_dataset_dementia_2020.log,analysis/dataset_definition_measures.py,https://github.com/opensafely/disease_incidence/blob/46fd470f59241bb67e90d6e79cbee55829b9f353/analysis/dataset_definition_measures.py,measure,1000,markdrussell,False,,False,0,5.57,0,5.46,0,1.82,0,12.15,0,11.64,1116,0.53,0.14,4.05,1.15,1.82,613.74,0.0,127.01,50.97,-6.15,0.0,-14.13,0.0,5000,1.4,0.07,1.91,1.54,4.92,1016.42,5000,0.76,0.2,5.01,1.4,7.36,679.13,5000,1.45,0.07,2.86,1.54,5.92,845.11,5000,0.92,0.08,5.25,1.45,7.69,650.08,5000,1.43,0.06,2.62,1.49,5.61,890.61,5000,0.93,0.07,3.58,1.4,5.97,837.49,5000,3.21,0.21,3.34,3.27,10.03,498.33,5000,1.79,0.12,2.15,2.89,6.94,720.88
disease_incidence,measures_dataset_atopic_dermatitis_2019.log,analysis/dataset_definition_measures.py,https://github.com/opensafely/disease_incidence/blob/46fd470f59241bb67e90d6e79cbee55829b9f353/analysis/dataset_definition_measures.py,measure,1000,markdrussell,False,,False,0,5.72,0,5.76,0,1.9,0,12.54,0,11.4,1115,0.53,0.14,2.86,1.23,1.9,586.42,0.0,127.06,28.71,36.12,0.0,9.85,0.0,5000,1.46,0.07,2.62,1.56,5.71,875.85,5000,0.81,0.18,1.91,1.45,4.35,1149.25,5000,1.49,0.07,3.81,1.53,6.9,724.5,5000,0.98,0.08,3.1,1.5,5.67,882.48,5000,1.5,0.07,1.91,1.68,5.15,971.52,5000,0.93,0.06,1.91,1.46,4.36,1148.08,5000,3.23,0.18,1.43,3.17,8.01,624.43,5000,1.73,0.12,2.15,2.81,6.81,734.17
disease_incidence,measures_dataset_coeliac_2020.log,analysis/dataset_definition_measures.py,https://github.com/opensafely/disease_incidence/blob/46fd470f59241bb67e90d6e79cbee55829b9f353/analysis/dataset_definition_measures.py,measure,1000,markdrussell,False,,False,0,5.26,0,5.31,0,1.79,0,11.77,0,10.99,1116,0.52,0.14,2.86,1.13,1.79,621.87,0.0,127.01,24.79,4.07,0.0,18.46,0.0,5000,1.38,0.07,3.34,1.43,6.22,804.05,5000,0.79,0.17,3.81,1.34,6.12,817.21,5000,1.39,0.08,3.34,1.45,6.25,799.38,5000,0.86,0.08,3.81,1.33,6.09,820.62,5000,1.41,0.08,2.15,1.44,5.07,986.12,5000,0.91,0.07,3.1,1.34,5.41,923.81,5000,3.19,0.17,1.91,3.01,8.27,604.76,5000,1.67,0.11,1.91,2.69,6.38,783.99
disease_incidence,measures_dataset_epilepsy_2019.log,analysis/dataset_definition_measures.py,https://github.com/opensafely/disease_incidence/blob/46fd470f59241bb67e90d6e79cbee55829b9f353/analysis/dataset_definition_measures.py,measure,1000,markdrussell,False,,False,0,5.42,0,5.59,0,1.86,0,12.5,0,11.49,1115,0.53,0.14,3.1,1.2,1.86,597.89,0.0,127.06,44.3,40.55,0.0,-3.9,0.0,5000,1.5,0.07,1.91,1.55,5.03,994.33,5000,0.8,0.18,1.91,1.45,4.34,1151.67,5000,1.43,0.07,2.38,1.47,5.35,934.96,5000,0.9,0.06,2.86,1.41,5.23,955.21,5000,1.47,0.07,2.15,1.55,5.22,956.99,5000,0.93,0.07,2.62,1.45,5.07,987.14,5000,3.27,0.17,2.38,3.21,9.03,553.88,5000,1.7,0.13,2.62,2.86,7.3,684.67
disease_incidence,measures_dataset_crohns_disease_2020.log,analysis/dataset_definition_measures.py,https://github.com/opensafely/disease_incidence/blob/46fd470f59241bb67e90d6e79cbee55829b9f353/analysis/dataset_definition_measures.py,measure,1000,markdrussell,False,,False,0,5.25,0,5.5,0,1.79,0,12.1,0,11.7,1116,0.53,0.14,3.1,1.12,1.79,624.13,0.0,127.01,35.23,28.67,0.0,18.82,0.0,5000,1.4,0.07,3.1,1.5,6.07,824.34,5000,0.77,0.17,3.34,1.35,5.63,887.48,5000,1.37,0.06,2.15,1.45,5.03,993.73,5000,0.88,0.06,1.91,1.35,4.21,1188.92,5000,1.45,0.07,1.91,1.49,4.92,1015.51,5000,0.91,0.07,2.38,1.43,4.79,1042.9,5000,3.29,0.17,2.62,3.28,9.36,533.95,5000,1.81,0.11,3.1,2.87,7.9,633.06
